recipe_slug,name_en,name_hi,name_kn,qty_per_person,unit,category,is_staple,sort_order
aloo-gobi,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,7
aloo-gobi,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,8
aloo-gobi,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,9
bhindi-fry,Okra (bhindi),भिंडी,ಬೆಂಡೆಕಾಯಿ,150,g,vegetable,false,1
bhindi-fry,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,2
bhindi-fry,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,3
bhindi-fry,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,4
bhindi-fry,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,5
bhindi-fry,Cooking oil,तेल,ಎಣ್ಣೆ,2.5,tsp,staple,true,6
baingan-bharta,Brinjal (large),बड़ा बैंगन,ದೊಡ್ಡ ಬದನೆಕಾಯಿ,0.5,piece,vegetable,false,1
baingan-bharta,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,2
baingan-bharta,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.7,piece,vegetable,false,3
baingan-bharta,Garlic cloves,लहसुन,ಬೆಳ್ಳುಳ್ಳಿ,2,piece,vegetable,false,4
baingan-bharta,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,5
baingan-bharta,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,6
baingan-bharta,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,7
jeera-aloo,Potato (medium),आलू,ಆಲೂಗಡ್ಡೆ,1.5,piece,vegetable,false,1
jeera-aloo,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.7,tsp,staple,true,2
jeera-aloo,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,3
jeera-aloo,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,4
jeera-aloo,Lemon,नींबू,ನಿಂಬೆಹಣ್ಣು,0.2,piece,vegetable,false,5
jeera-aloo,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,6
jeera-aloo,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,7
mix-veg-sabzi,Carrot,गाजर,ಕ್ಯಾರೆಟ್,0.3,piece,vegetable,false,1
mix-veg-sabzi,French beans,बीन्स,ಹುರುಳಿಕಾಯಿ,40,g,vegetable,false,2
mix-veg-sabzi,Potato (medium),आलू,ಆಲೂಗಡ್ಡೆ,0.5,piece,vegetable,false,3
mix-veg-sabzi,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,30,g,vegetable,false,4
mix-veg-sabzi,Capsicum,शिमला मिर्च,ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,0.3,piece,vegetable,false,5
mix-veg-sabzi,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,6
mix-veg-sabzi,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.5,piece,vegetable,false,7
mix-veg-sabzi,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,8
mix-veg-sabzi,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,9
mix-veg-sabzi,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,10
mix-veg-sabzi,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,11
mix-veg-sabzi,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,12
mix-veg-sabzi,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,13
mix-veg-sabzi,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,14
aloo-matar,Potato (medium),आलू,ಆಲೂಗಡ್ಡೆ,1,piece,vegetable,false,1
aloo-matar,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,50,g,vegetable,false,2
aloo-matar,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,3
aloo-matar,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.7,piece,vegetable,false,4
aloo-matar,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,5
aloo-matar,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,6
aloo-matar,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
aloo-matar,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,8
aloo-matar,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,9
aloo-matar,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,10
aloo-matar,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,11
lauki-chana-dal,Bottle gourd (lauki),लौकी,ಸೋರೆಕಾಯಿ,150,g,vegetable,false,1
lauki-chana-dal,Chana dal,चना दाल,ಕಡಲೆ ಬೇಳೆ,40,g,protein,false,2
lauki-chana-dal,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.5,piece,vegetable,false,3
lauki-chana-dal,Garlic cloves,लहसुन,ಬೆಳ್ಳುಳ್ಳಿ,2,piece,vegetable,false,4
lauki-chana-dal,Ghee,घी,ತುಪ್ಪ,1,tsp,staple,true,5
lauki-chana-dal,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,6
lauki-chana-dal,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
lauki-chana-dal,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,8
sambar,Toor dal,अरहर दाल,ತೊಗರಿ ಬೇಳೆ,50,g,protein,false,1
sambar,Sambar powder,सांभर पाउडर,ಸಾಂಬಾರ್ ಪುಡಿ,1.5,tsp,staple,true,2
sambar,Tamarind,इमली,ಹುಣಸೆಹಣ್ಣು,10,g,other,false,3
sambar,French beans,बीन्स,ಹುರುಳಿಕಾಯಿ,30,g,vegetable,false,4
sambar,Carrot,गाजर,ಕ್ಯಾರೆಟ್,0.3,piece,vegetable,false,5
sambar,Brinjal (large),बड़ा बैंगन,ದೊಡ್ಡ ಬದನೆಕಾಯಿ,0.15,piece,vegetable,false,6
sambar,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,7
sambar,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.5,piece,vegetable,false,8
sambar,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,9
sambar,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,10
sambar,Asafoetida (hing),हींग,ಇಂಗು,0.1,tsp,staple,true,11
sambar,Dried red chilli,सूखी लाल मिर्च,ಒಣ ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ,0.5,piece,staple,true,12
sambar,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,13
sambar,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,14
tomato-rasam,Toor dal,अरहर दाल,ತೊಗರಿ ಬೇಳೆ,25,g,protein,false,1
tomato-rasam,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1,piece,vegetable,false,2
tomato-rasam,Rasam powder,रसम पाउडर,ರಸಂ ಪುಡಿ,1.2,tsp,staple,true,3
tomato-rasam,Tamarind,इमली,ಹುಣಸೆಹಣ್ಣು,8,g,other,false,4
tomato-rasam,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,5
tomato-rasam,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,6
tomato-rasam,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,7
tomato-rasam,Asafoetida (hing),हींग,ಇಂಗು,0.1,tsp,staple,true,8
tomato-rasam,Ghee,घी,ತುಪ್ಪ,1,tsp,staple,true,9
tomato-rasam,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,10
curd-rice,Rice,चावल,ಅಕ್ಕಿ,70,g,other,false,1
curd-rice,Curd,दही,ಮೊಸರು,150,g,dairy,false,2
curd-rice,Milk,दूध,ಹಾಲು,30,ml,dairy,false,3
curd-rice,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,4
curd-rice,Ginger,अदरक,ಶುಂಠಿ,5,g,vegetable,false,5
curd-rice,Chana dal,चना दाल,ಕಡಲೆ ಬೇಳೆ,5,g,protein,false,6
curd-rice,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,7
curd-rice,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,8
curd-rice,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,9
lemon-rice,Rice,चावल,ಅಕ್ಕಿ,75,g,other,false,1
lemon-rice,Lemon,नींबू,ನಿಂಬೆಹಣ್ಣು,0.5,piece,vegetable,false,2
lemon-rice,Peanuts,मूंगफली,ಕಡಲೆಕಾಯಿ ಬೀಜ,10,g,other,false,3
lemon-rice,Chana dal,चना दाल,ಕಡಲೆ ಬೇಳೆ,5,g,protein,false,4
lemon-rice,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.7,piece,vegetable,false,5
lemon-rice,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,6
lemon-rice,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,7
lemon-rice,Asafoetida (hing),हींग,ಇಂಗು,0.1,tsp,staple,true,8
lemon-rice,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,9
lemon-rice,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,10
tomato-rice,Rice,चावल,ಅಕ್ಕಿ,75,g,other,false,1
tomato-rice,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1.5,piece,vegetable,false,2
tomato-rice,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,3
tomato-rice,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,4
tomato-rice,Mint leaves,पुदीना,ಪುದೀನ,0.1,bunch,vegetable,false,5
tomato-rice,"Whole spices (bay leaf, cinnamon, cloves)",खड़े मसाले,"ಇಡೀ ಮಸಾಲೆ (ಚಕ್ಕೆ, ಲವಂಗ)",1,piece,staple,true,6
tomato-rice,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,7
tomato-rice,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,8
tomato-rice,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,9
tomato-rice,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,10
tomato-rice,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,11
bisi-bele-bath,Rice,चावल,ಅಕ್ಕಿ,60,g,other,false,1
bisi-bele-bath,Toor dal,अरहर दाल,ತೊಗರಿ ಬೇಳೆ,40,g,protein,false,2
bisi-bele-bath,Sambar powder,सांभर पाउडर,ಸಾಂಬಾರ್ ಪುಡಿ,1.5,tsp,staple,true,3
bisi-bele-bath,Tamarind,इमली,ಹುಣಸೆಹಣ್ಣು,8,g,other,false,4
bisi-bele-bath,Jaggery,गुड़,ಬೆಲ್ಲ,5,g,other,false,5
bisi-bele-bath,Carrot,गाजर,ಕ್ಯಾರೆಟ್,0.3,piece,vegetable,false,6
bisi-bele-bath,French beans,बीन्स,ಹುರುಳಿಕಾಯಿ,30,g,vegetable,false,7
bisi-bele-bath,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,20,g,vegetable,false,8
bisi-bele-bath,Peanuts,मूंगफली,ಕಡಲೆಕಾಯಿ ಬೀಜ,10,g,other,false,9
bisi-bele-bath,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,10
bisi-bele-bath,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,11
bisi-bele-bath,Dried red chilli,सूखी लाल मिर्च,ಒಣ ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ,0.5,piece,staple,true,12
bisi-bele-bath,Ghee,घी,ತುಪ್ಪ,1,tsp,staple,true,13
veg-kurma,Carrot,गाजर,ಕ್ಯಾರೆಟ್,0.3,piece,vegetable,false,1
veg-kurma,French beans,बीन्स,ಹುರುಳಿಕಾಯಿ,30,g,vegetable,false,2
veg-kurma,Potato (medium),आलू,ಆಲೂಗಡ್ಡೆ,0.5,piece,vegetable,false,3
veg-kurma,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,20,g,vegetable,false,4
veg-kurma,Grated coconut,कसा नारियल,ತೆಂಗಿನ ತುರಿ,20,g,other,false,5
veg-kurma,Cashews,काजू,ಗೋಡಂಬಿ,5,g,other,false,6
veg-kurma,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,7
veg-kurma,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.5,piece,vegetable,false,8
veg-kurma,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.7,piece,vegetable,false,9
veg-kurma,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,10
veg-kurma,"Whole spices (bay leaf, cinnamon, cloves)",खड़े मसाले,"ಇಡೀ ಮಸಾಲೆ (ಚಕ್ಕೆ, ಲವಂಗ)",1,piece,staple,true,11
veg-kurma,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,12
veg-kurma,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,13
beans-palya,French beans,बीन्स,ಹುರುಳಿಕಾಯಿ,120,g,vegetable,false,1
beans-palya,Grated coconut,कसा नारियल,ತೆಂಗಿನ ತುರಿ,15,g,other,false,2
beans-palya,White urad dal,सफ़ेद उड़द दाल,ಉದ್ದಿನ ಬೇಳೆ,5,g,protein,false,3
beans-palya,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,4
beans-palya,Dried red chilli,सूखी लाल मिर्च,ಒಣ ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ,0.5,piece,staple,true,5
beans-palya,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,6
beans-palya,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
beans-palya,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,8
cabbage-poriyal,Cabbage,पत्ता गोभी,ಎಲೆಕೋಸು,150,g,vegetable,false,1
cabbage-poriyal,Grated coconut,कसा नारियल,ತೆಂಗಿನ ತುರಿ,15,g,other,false,2
cabbage-poriyal,White urad dal,सफ़ेद उड़द दाल,ಉದ್ದಿನ ಬೇಳೆ,5,g,protein,false,3
cabbage-poriyal,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,4
cabbage-poriyal,Mustard seeds,राई,ಸಾಸಿವೆ,0.3,tsp,staple,true,5
cabbage-poriyal,Curry leaves,करी पत्ता,ಕರಿಬೇವು,0.2,bunch,staple,true,6
cabbage-poriyal,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
cabbage-poriyal,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,8
